pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
bike interaction---bike interaction	45	23	0	0	0	0	0	0	0	0	0	0	0
bike interaction---home	34	0	0	0	0	0	0	0	0	0	0	0	0
bike interaction---work	34	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---car interaction	61	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---home	30	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---work	31	0	0	0	0	0	0	0	0	0	0	0	0
home---bike interaction	34	0	0	0	0	0	0	0	0	0	0	0	0
home---car interaction	31	0	0	0	0	0	0	0	0	0	0	0	0
home---work	0	0	35	0	0	0	0	0	0	0	0	0	0
work---bike interaction	34	0	0	0	0	0	0	0	0	0	0	0	0
work---car interaction	30	0	0	0	0	0	0	0	0	0	0	0	0
work---home	0	0	36	0	0	0	0	0	0	0	0	0	0

average leg duration: 206.11353711790392 seconds = 00:03:26
