pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
bike interaction---bike interaction	58	439	372	169	54	21	26	15	11	17	13	10	202
bike interaction---home	660	44	0	0	0	0	0	0	0	0	0	0	0
bike interaction---work	694	8	0	1	0	0	0	0	0	0	0	0	0
car interaction---car interaction	2789	2620	981	578	344	218	175	146	132	114	128	122	1541
car interaction---home	4570	373	1	0	0	0	0	0	0	0	0	0	0
car interaction---secondary	1387	18	2	3	0	0	0	0	0	0	0	0	0
car interaction---work	3505	29	0	0	0	0	0	0	0	0	0	0	0
home---bike interaction	659	44	0	0	0	0	0	0	0	0	0	0	0
home---car interaction	4570	373	1	0	0	0	0	0	0	0	0	0	0
home---pedestrian interaction	389	31	0	0	0	0	0	0	0	0	0	0	0
home---pt interaction	915	660	293	142	99	19	3	2	0	0	0	0	0
home---secondary	0	2	12	7	12	11	10	10	5	0	4	6	5
home---work	1	9	11	11	15	12	9	9	8	5	6	1	4
pedestrian interaction---home	389	31	0	0	0	0	0	0	0	0	0	0	0
pedestrian interaction---pedestrian interaction	15	56	132	144	139	108	84	66	42	14	14	7	19
pedestrian interaction---secondary	134	0	0	0	0	0	0	0	0	0	0	0	0
pedestrian interaction---work	286	0	0	0	0	0	0	0	0	0	0	0	0
pt interaction---home	882	639	260	138	96	19	6	2	0	0	0	0	0
pt interaction---pt interaction	3123	1726	209	71	35	32	19	15	32	47	32	34	672
pt interaction---secondary	603	234	101	74	22	3	3	0	0	0	0	0	0
pt interaction---work	696	209	116	56	5	2	1	0	0	0	0	0	0
secondary---car interaction	1387	18	2	3	0	0	0	0	0	0	0	0	0
secondary---home	0	5	5	11	17	12	12	6	6	0	5	6	5
secondary---pedestrian interaction	134	0	0	0	0	0	0	0	0	0	0	0	0
secondary---pt interaction	605	230	104	70	19	3	3	0	0	0	0	0	0
work---bike interaction	695	8	0	1	0	0	0	0	0	0	0	0	0
work---car interaction	3505	29	0	0	0	0	0	0	0	0	0	0	0
work---home	1	9	11	9	16	9	10	7	7	3	6	0	3
work---pedestrian interaction	286	0	0	0	0	0	0	0	0	0	0	0	0
work---pt interaction	686	224	116	57	8	2	1	0	0	0	0	0	0

average leg duration: 981.7812121921711 seconds = 00:16:21
