pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
bike interaction---bike interaction	29	253	223	83	20	8	12	12	8	2	3	1	6
bike interaction---work	647	8	0	1	0	0	0	0	0	0	0	0	0
car interaction---car interaction	1045	1309	540	233	103	70	59	46	51	37	30	12	32
car interaction---home	1	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---secondary	161	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---work	3372	28	0	0	0	0	0	0	0	0	0	0	0
home---bike interaction	654	44	0	0	0	0	0	0	0	0	0	0	0
home---car interaction	3408	277	0	0	0	0	0	0	0	0	0	0	0
home---pedestrian interaction	286	23	0	0	0	0	0	0	0	0	0	0	0
home---pt interaction	474	422	177	101	59	10	2	2	0	0	0	0	0
home---secondary	0	1	5	0	3	3	3	1	1	0	0	1	0
home---work	1	9	18	17	19	17	9	12	10	7	6	2	4
pedestrian interaction---pedestrian interaction	9	25	44	45	51	40	30	20	19	5	9	3	6
pedestrian interaction---secondary	19	0	0	0	0	0	0	0	0	0	0	0	0
pedestrian interaction---work	287	0	0	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	704	564	146	42	21	11	8	4	5	3	9	10	7
pt interaction---secondary	95	30	9	11	7	1	0	0	0	0	0	0	0
pt interaction---work	638	196	112	55	5	2	1	0	0	0	0	0	0
secondary---car interaction	2	0	0	0	0	0	0	0	0	0	0	0	0
secondary---pt interaction	2	0	0	0	0	0	0	0	0	0	0	0	0

average leg duration: 346.06965536564866 seconds = 00:05:46
